,movie_num,movie_name,movie_year,movie_country,movie_type,movie_director,movie_score,movie_assess
206,207,源代码,2011,美国,科幻,邓肯·琼斯,8.4,499513
207,208,初恋这件小事,2010,泰国,剧情,普特鹏·普罗萨卡·那·萨克那卡林,8.3,593682
208,209,小萝莉的猴神大叔,2015,印度,剧情,卡比尔·汗,8.5,245560
211,212,新龙门客栈,1992,香港,动作,李惠民,8.5,241353
212,213,再次出发之纽约遇见你,2013,美国,喜剧,约翰·卡尼,8.5,229315
213,214,撞车,2004,美国,犯罪,保罗·哈吉斯,8.6,210530
217,218,无耻混蛋,2009,美国,剧情,Quentin,8.5,276907
221,222,彗星来的那一夜,2013,美国,科幻,詹姆斯·沃德·布柯特,8.5,254258
223,224,这个男人来自地球,2007,美国,剧情,理查德·沙因克曼,8.5,233469
229,230,变脸,1997,美国,动作,吴宇森,8.4,260558
230,231,发条橙,1971,英国,犯罪,Stanley,8.5,226709
231,232,功夫,2004,中国大陆,动作,周星驰,8.3,411730
232,233,秒速5厘米,2007,日本,动画,新海诚,8.3,387464
238,239,国王的演讲,2010,英国,剧情,汤姆·霍珀,8.4,416198
240,241,疯狂的麦克斯4：狂暴之路,2015,澳大利亚,动作,乔治·米勒,8.6,271626
241,242,美国丽人,1999,美国,剧情,萨姆·门德斯,8.5,226778
243,244,奇迹男孩,2017,美国,剧情,斯蒂芬·卓博斯基,8.6,288561
245,246,驴得水,2016,中国大陆,剧情,周申,8.3,462179
248,249,英国病人,1996,美国,爱情,安东尼·明格拉,8.5,204645
